,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
1 Nuclear,0.0,0.0,0.0,0.255,0.255,0.255,0.255,0.2237,0.2293,0.232,0.2419,0.2421,0.2455,0.2521,0.2597,0.2678,0.2773,0.2872,0.2979,0.3096,0.3215,0.3329,0.3442,0.3555,0.3667,0.3778,0.3883,0.399,0.41,0.4218,0.4333,0.4461,0.4594,0.4736,0.4885,0.5042,0.5208,0.5388,0.5572,0.5766,0.597,0.6182,0.6406,0.6642,0.6891,0.7155,0.7442,0.774,0.8058,0.8389,0.8745
2 Oil,0.0,0.0,0.0,5.689,5.689,5.689,5.689,5.4012,5.4159,5.4479,5.3404,5.4345,5.4905,5.5501,5.5904,5.639,5.6674,5.6985,5.7291,5.7609,5.7942,5.8238,5.8513,5.8786,5.9062,5.9344,5.9549,5.9825,6.0033,6.0315,6.0517,6.0785,6.0992,6.1265,6.147,6.1697,6.1924,6.2141,6.2359,6.2576,6.2799,6.3075,6.3289,6.3573,6.3797,6.4095,6.4329,6.4642,6.4931,6.5223,6.5523
3 Coal,0.0,0.0,0.0,0.4246,0.4246,0.4246,0.4246,0.4277,0.4286,0.4276,0.4283,0.429,0.4289,0.4286,0.4281,0.4273,0.4263,0.4251,0.4239,0.4228,0.422,0.4211,0.4203,0.4202,0.4202,0.4203,0.4205,0.4208,0.4212,0.4216,0.4221,0.4225,0.423,0.4235,0.424,0.4244,0.4251,0.4258,0.4266,0.4275,0.4284,0.4296,0.4307,0.4318,0.433,0.4342,0.4354,0.4366,0.4375,0.4388,0.4401
4 Gas,0.0,0.0,0.0,3.374,3.374,3.374,3.374,3.5758,3.6107,3.6019,3.6059,3.616,3.6273,3.6375,3.647,3.6564,3.663,3.6673,3.6749,3.6794,3.6878,3.6907,3.6937,3.6966,3.6996,3.7031,3.7058,3.7089,3.7128,3.7199,3.7273,3.7357,3.7459,3.7577,3.7707,3.7847,3.7991,3.8139,3.8315,3.8455,3.8638,3.8816,3.8998,3.9179,3.9364,3.9552,3.9742,3.9935,4.0132,4.0332,4.0537
5 Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6 Biogas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7 Biogas + CCS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8 Tidal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9 Large Hydro,0.0,0.0,0.0,0.0,6439.6108,7026.9614,7047.6675,7124.1675,7175.7881,7181.9922,7313.3193,7109.3574,7066.4775,7020.7212,6969.6738,6913.8794,6865.6392,6809.3662,6742.6362,6660.1821,6545.8164,6404.3892,6244.9604,6079.6841,5926.1973,5786.8965,5666.4565,5564.0552,5483.2642,5417.9995,5366.9575,5326.1226,5294.8872,5272.0879,5254.7998,5243.6631,5235.9189,5231.1147,5229.4629,5230.3013,5233.5815,5238.71,5246.8906,5255.7202,5265.9653,5277.3359,5289.3794,5303.5591,5319.5771,5335.396,5353.9272
10 Onshore,0.0,0.0,0.0,0.0,0.4627,0.46,0.4574,0.4543,0.4523,0.4617,0.4614,0.4614,0.4578,0.4541,0.4501,0.4459,0.4415,0.4371,0.4329,0.4291,0.4257,0.4233,0.4218,0.4214,0.4218,0.423,0.4246,0.4264,0.4282,0.43,0.4317,0.4332,0.4346,0.4358,0.4369,0.438,0.439,0.4398,0.4405,0.4412,0.4418,0.4424,0.4429,0.4434,0.4438,0.4442,0.4446,0.4449,0.4452,0.4454,0.4456
