,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
1 Nuclear,0.0,0.0,0.0,0.255,0.255,0.255,0.255,0.2237,0.2293,0.2307,0.2406,0.2412,0.245,0.2519,0.2593,0.2673,0.2765,0.2863,0.2969,0.3087,0.3211,0.3335,0.3463,0.36,0.3737,0.3878,0.4018,0.4161,0.4308,0.4459,0.4617,0.478,0.4948,0.5124,0.531,0.5507,0.5712,0.5933,0.616,0.6398,0.6649,0.691,0.7222,0.7512,0.7818,0.8151,0.8497,0.887,0.9264,0.9684,1.0195,1.0695,1.1219,1.1784,1.2418,1.3087,1.3806,1.4604,1.556,1.6497,1.7526
2 Oil,0.0,0.0,0.0,5.689,5.689,5.689,5.689,5.4416,5.464,5.501,5.3979,5.493,5.5499,5.6103,5.6562,5.7029,5.7324,5.7647,5.7964,5.829,5.863,5.8927,5.9203,5.9478,5.9759,6.0046,6.0254,6.0536,6.0748,6.1035,6.1241,6.1515,6.1726,6.2003,6.2211,6.2437,6.2663,6.2878,6.3094,6.3309,6.3529,6.3762,6.405,6.4269,6.4559,6.4788,6.5093,6.5377,6.5663,6.5956,6.6261,6.6574,6.6893,6.7222,6.7561,6.7909,6.8266,6.8635,6.9017,6.9408,6.9808
3 Coal,0.0,0.0,0.0,0.4246,0.4246,0.4246,0.4246,0.4208,0.4217,0.4201,0.4213,0.4219,0.4221,0.4221,0.422,0.4214,0.4206,0.4199,0.4188,0.4176,0.4163,0.4149,0.4135,0.4125,0.4117,0.4109,0.4105,0.4101,0.4099,0.4098,0.4097,0.4097,0.4097,0.4097,0.4098,0.4099,0.41,0.4101,0.4103,0.4105,0.4107,0.4111,0.4116,0.4121,0.4127,0.4134,0.4141,0.4149,0.4155,0.4163,0.4172,0.4181,0.419,0.42,0.4211,0.4222,0.4233,0.4245,0.4258,0.4271,0.4285
4 Gas,0.0,0.0,0.0,3.374,3.374,3.374,3.374,3.5717,3.6102,3.599,3.6021,3.612,3.6228,3.6328,3.6427,3.6528,3.6604,3.6677,3.6755,3.684,3.6935,3.7008,3.708,3.7157,3.7241,3.7331,3.7405,3.7478,3.7552,3.7628,3.7706,3.778,3.7857,3.7939,3.8028,3.8126,3.8229,3.8342,3.8465,3.8597,3.8737,3.8914,3.9057,3.9241,3.9388,3.9584,3.9764,3.9945,4.013,4.032,4.0516,4.0716,4.092,4.113,4.1347,4.1574,4.1808,4.2045,4.2288,4.2538,4.2795
5 Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6 Biogas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7 Biogas + CCS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8 Tidal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9 Large Hydro,0.0,0.0,0.0,0.0,6819.6895,6285.6245,6484.8398,5444.8926,5748.2144,5763.29,5819.999,5676.3745,5814.3076,5966.2695,5994.085,6020.4727,6046.0044,6071.2466,6099.5557,6131.5767,6166.457,6198.2407,6232.6631,6269.3862,6305.7354,6343.4722,6378.7642,6413.8843,6447.1016,6478.1089,6507.8174,6538.9292,6568.5854,6597.4917,6623.9272,6648.7969,6681.126,6711.4795,6740.9712,6772.0806,6803.981,6825.3965,6849.6738,6874.5498,6901.7266,6928.5688,6954.3696,6981.7241,7009.0601,7037.856,7068.2568,7097.877,7128.8242,7160.5776,7193.0405,7228.8384,7263.0459,7298.1523,7334.3301,7373.7739,7411.5723
10 Onshore,0.0,0.0,0.0,0.0,0.3598,0.3509,0.3542,0.3483,0.3479,0.3246,0.3178,0.3047,0.3035,0.3012,0.2999,0.2996,0.2999,0.3011,0.3027,0.3045,0.3063,0.3086,0.3105,0.3121,0.3133,0.3141,0.3149,0.3154,0.3158,0.3163,0.3165,0.3167,0.3168,0.317,0.3172,0.3172,0.3171,0.3169,0.3169,0.3167,0.3165,0.3168,0.3172,0.3175,0.3179,0.3183,0.3188,0.3193,0.3199,0.3205,0.3211,0.3216,0.3222,0.3228,0.3234,0.324,0.3245,0.3251,0.3256,0.3261,0.3267
