,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
1 Nuclear,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2 Oil,8,24.0,201.0,63.0,21.0,51.0,15.0,0.0,1.0,0.0,0.0,0.0,0.0,20.0,24.0,4.0,23.0,1.0,132.0,9.0,2.185,2.228,3.669,3.633,3.36,1.548,3.33,5.893,11.666,1.921829463400274,1.846714243196693,1.774534921528172,1.705176748012768,1.638529457318001,1.574487093861499,1.51294784336325,1.453813870981698,1.407302383806531,1.362278926483346,1.31869589286203,1.27650719984359,1.235668238653571,1.183939844844977,1.13437694064137,1.08688887282729,1.041388783174543,0.9977934495738324,0.957533792046293,0.9188985589173373,0.8818222067921933,0.846241836866137,0.8120970882187509,0.778715035686384,0.7467051853788987,0.7160111315691714,0.6865787871431769,0.6583562882911079,0.6312939031162607,0.6053439440006415,0.5804606835728732,0.5566002741303216,0.5337206703734577,0.5363468460941098,0.5390889251826085,0.5419114026308361,0.5448304946684618,0.5478579793991399,0.5509641555180028,0.5541507299965944,0.5573950001133778,0.5607203513785077,0.5637362287026858,0.5648826307917271,0.5667905128866071,0.5693426060422436,0.5722736468806783,0.5754409325808211,0.5787430690329507,0.5821541102695962,0.585611581132242,0.5891223095070649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3 Coal,664,482.0,1253.0,744.0,692.0,901.0,937.0,1642.0,1461.0,1796.0,1546.0,2119.0,2059.0,3967.0,4787.0,5865.0,5538.0,3162.0,4832.0,3298.0,2063.902,2169.859,3549.715,2393.807,1959.487,1866.348365,1037.5596,1194.26916,1551.32432,1177.759416300476,1199.679342251123,1222.007231956534,1244.750678253726,1267.917415294169,1291.515321173865,1315.552420612376,1340.036887681719,1373.262428275572,1407.311779436061,1442.205367131809,1477.96412378306,1514.609500818886,1549.203249000974,1584.587119926013,1620.779160032499,1657.797827940383,1695.662003865318,1727.834424939504,1760.617265233686,1794.022106457031,1828.060750062753,1862.745221417389,1901.68567948393,1941.440183001774,1982.025749490225,2023.459752217716,2065.759927638706,2108.944382986039,2153.031604022014,2198.040462951504,2243.990226500485,2290.900564163455,2302.172953962082,2313.942838247109,2326.057818118432,2338.587498842925,2351.582435824949,2364.915141523072,2378.59294280749,2392.518392304578,2406.791868136041,2419.736982400723,2424.657708425265,2432.846951244846,2443.801354876908,2456.382323692782,2469.97733134397,2484.151161740748,2498.792446456118,2513.633022040855,2528.702195975751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4 Coal + CCS,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.34465875,2.6201,4.546709999999999,7.91492,11.92,11.92,11.92,11.92,11.92,11.92,11.92,11.92,11.92,11.92,11.92,11.92,11.92,11.92,11.92,11.92,11.92,11.92,11.92,11.92,11.92,11.92,11.92,11.92,11.92,11.92,11.92,11.92,11.92,11.92,11.92,11.92,11.92,11.97865243062119,12.03989342155383,12.10293001175996,12.16812437094442,12.23573954868231,12.30511220256685,12.37628045572488,12.44873727056962,12.52300493393857,12.59036087441404,12.61596436639012,12.65857458524309,12.71557247216004,12.78103369323228,12.85177115505718,12.92552034390131,13.00170178823691,13.07892018162216,13.15732801656437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5 IGCC,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6893175,5.2402,9.093419999999998,15.82984,11.92,11.92,11.92,11.92,11.92,11.92,11.92,11.92,11.92,11.92,11.92,11.92,11.92,11.92,11.92,11.92,11.92,11.92,11.92,11.92,11.92,11.92,11.92,11.92,11.92,11.92,11.92,11.92,11.92,11.92,11.92,11.92,11.92,11.97865243062119,12.03989342155383,12.10293001175996,12.16812437094442,12.23573954868231,12.30511220256685,12.37628045572488,12.44873727056962,12.52300493393857,12.59036087441404,12.61596436639012,12.65857458524309,12.71557247216004,12.78103369323228,12.85177115505718,12.92552034390131,13.00170178823691,13.07892018162216,13.15732801656437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6 IGCC + CCS,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32631875,0.6957450000000001,1.04050125,1.39521,11.92,11.92,11.92,11.92,11.92,11.92,11.92,11.92,11.92,11.92,11.92,11.92,11.92,11.92,11.92,11.92,11.92,11.92,11.92,11.92,11.92,11.92,11.92,11.92,11.92,11.92,11.92,11.92,11.92,11.92,11.92,11.92,11.92,11.97865243062119,12.03989342155383,12.10293001175996,12.16812437094442,12.23573954868231,12.30511220256685,12.37628045572488,12.44873727056962,12.52300493393857,12.59036087441404,12.61596436639012,12.65857458524309,12.71557247216004,12.78103369323228,12.85177115505718,12.92552034390131,13.00170178823691,13.07892018162216,13.15732801656437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7 CCGT,5709,7021.0,7495.0,7000.0,5475.0,4736.0,6615.0,9389.0,7630.0,9661.0,9572.0,12583.0,10243.0,9788.0,7062.0,9417.0,9851.0,11842.0,10652.0,8930.0,9904.384,8393.542,8883.717,8709.892,7069.719,6868.90712,5769.3833925,7049.514812500001,5701.78979,6590.304314065188,6873.561568163524,7168.993475840163,7477.123314743273,7798.496853468739,8133.683318241483,8483.276401145627,8847.8953116893,9142.762090380804,9447.45565997715,9762.303510132871,10087.64404449008,10423.82694440025,10730.52430017095,11046.24552678471,11371.25613107902,11705.82943182504,12050.246789576,12382.2688743193,12723.43920861153,13074.00985541374,13434.23982281191,13804.395255377,14197.64801637317,14602.10356685559,15018.08104633129,15445.90868579514,15885.92406672374,16338.47438744723,16803.91673710946,17282.6183774326,17774.9570325085,18281.32118684547,18371.27453605479,18465.19787708166,18561.87507104826,18661.86156599974,18765.56079262155,18871.95540396779,18981.10386825376,19092.22855821621,19206.13048840449,19309.43213116239,19348.69938454489,19414.0493087641,19501.46513743024,19601.86090988868,19710.34868334197,19823.45544580244,19940.29248039781,20058.71985044882,20178.97142881659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8 CCGT + CCS,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.59688,14.4596075,26.5351875,28.65221,263.28,263.28,263.28,263.28,263.28,263.28,263.28,263.28,263.28,263.28,263.28,263.28,263.28,263.28,263.28,263.28,263.28,263.28,263.28,263.28,263.28,263.28,263.28,263.28,263.28,263.28,263.28,263.28,263.28,263.28,263.28,263.28,263.28,264.5754707998277,265.9281157740514,267.3204205953157,268.7603845958261,270.2538178168689,271.7860688499832,273.3579797301381,274.9583513922457,276.5987197153814,278.0864270986349,278.6519377838246,279.5930802686913,280.8520067508637,282.2978649961573,283.8602608811623,285.4891775287194,287.1718160072996,288.8773578370369,290.6091711578076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9 Solid Biomass,360,360.0,360.0,360.0,360.0,360.0,332.0,334.0,438.0,419.0,478.0,386.0,248.0,205.0,253.0,296.0,320.0,336.0,347.0,368.0,368.995,373.062,384.799,389.356,380.552,371.29221,351.22626,319.930955,302.5338400000001,248.85132060663,267.2722475945781,287.0567620863744,308.30580204686,331.1277772552756,355.6391223975544,381.964891100623,410.239393939394,423.0674889300388,436.2967156099367,449.9396172781696,464.0091294600042,478.5185921717173,489.9059025076151,501.5641967484381,513.4999235000963,525.7196848260199,538.2302398989899,549.907602937845,561.8383163041859,574.0278766489453,586.4818998775747,599.2061237373738,612.8355999680854,626.7750907580022,641.0316476640068,655.6124826369146,670.5249716697771,685.7766585291678,701.3752585713407,717.3286626451901,733.6449410839863,750.332347787908,754.0243625506146,757.8793203112981,761.8473062782368,765.9511180726498,770.207313966791,774.5741383175854,779.0539908746348,783.6149549682325,788.2899071679261,792.5297847647736,794.1414565974898,796.8236567276667,800.4115223576456,804.5321323992728,808.9848677858192,813.6271833909254,818.4226030206405,823.2832958395303,828.2188608460033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10 S Biomass CCS,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4664475,0.886935,1.21801125,1.54354,33.1,33.1,33.1,33.1,33.1,33.1,33.1,33.1,33.1,33.1,33.1,33.1,33.1,33.1,33.1,33.1,33.1,33.1,33.1,33.1,33.1,33.1,33.1,33.1,33.1,33.1,33.1,33.1,33.1,33.1,33.1,33.1,33.1,33.26286874610413,33.43292552461676,33.60796840513881,33.78900307703526,33.97675998837116,34.16939713967808,34.36702039299443,34.56822178320926,34.77445162024888,34.96148866972355,35.03258561472423,35.15090761506261,35.30918194869945,35.49095765486481,35.68738466714705,35.89217478046421,36.10371889183235,36.31814245064542,36.53586890505711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
