,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
1 Nuclear,0.0,0.0,0.0,0.255,0.255,0.255,0.255,0.2237,0.2293,0.232,0.2419,0.2421,0.2455,0.2521,0.2597,0.2678,0.2773,0.2872,0.2979,0.3096,0.3215,0.3329,0.3442,0.3555,0.3667,0.3778,0.3883,0.399,0.41,0.4218,0.4333,0.4461,0.4594,0.4736,0.4885,0.5042,0.5208,0.5388,0.5572,0.5766,0.597,0.6182,0.6406,0.6642,0.6891,0.7155,0.7442,0.774,0.8058,0.8389,0.8745
2 Oil,0.0,0.0,0.0,5.689,5.689,5.689,5.689,5.4012,5.4159,5.4479,5.3404,5.4345,5.4905,5.5501,5.5904,5.639,5.6674,5.6985,5.7291,5.7609,5.7942,5.8238,5.8513,5.8786,5.9062,5.9344,5.9549,5.9825,6.0033,6.0315,6.0517,6.0785,6.0992,6.1265,6.147,6.1697,6.1924,6.2141,6.2359,6.2576,6.2799,6.3075,6.3289,6.3573,6.3797,6.4095,6.4329,6.4642,6.4931,6.5223,6.5523
3 Coal,0.0,0.0,0.0,0.4246,0.4246,0.4246,0.4246,0.4277,0.4286,0.4276,0.4283,0.429,0.4289,0.4286,0.4281,0.4273,0.4263,0.4251,0.4239,0.4228,0.422,0.4211,0.4203,0.4202,0.4202,0.4203,0.4205,0.4208,0.4212,0.4216,0.4221,0.4225,0.423,0.4235,0.424,0.4244,0.4251,0.4258,0.4266,0.4275,0.4284,0.4296,0.4307,0.4318,0.433,0.4342,0.4354,0.4366,0.4375,0.4388,0.4401
4 Gas,0.0,0.0,0.0,3.374,3.374,3.374,3.374,3.5758,3.6107,3.6019,3.6059,3.616,3.6273,3.6375,3.647,3.6564,3.663,3.6673,3.6749,3.6794,3.6878,3.6907,3.6937,3.6966,3.6996,3.7031,3.7058,3.7089,3.7128,3.7199,3.7273,3.7357,3.7459,3.7577,3.7707,3.7847,3.7991,3.8139,3.8315,3.8455,3.8638,3.8816,3.8998,3.9179,3.9364,3.9552,3.9742,3.9935,4.0132,4.0332,4.0537
5 Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6 Biogas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7 Biogas + CCS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8 Tidal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9 Large Hydro,0.0,0.0,0.0,0.0,4050.9124,3899.5547,4009.356,4075.8054,4159.6636,4079.9084,4089.6084,4050.1174,4046.4744,4045.3083,4047.1145,4053.7991,4064.657,4079.3782,4098.415,4122.1274,4150.1313,4180.9663,4215.1045,4251.6343,4289.5962,4328.7285,4367.3823,4405.2881,4443.3159,4479.6367,4513.2456,4542.1265,4565.2051,4583.5557,4601.1035,4616.936,4629.3633,4636.3081,4641.459,4644.2554,4645.6572,4645.377,4643.9438,4641.5933,4638.2568,4633.7598,4629.2461,4623.4604,4617.9634,4611.5312,4605.2559
10 Onshore,0.0,0.0,0.0,0.0,0.27,0.27,0.2697,0.27,0.2679,0.2652,0.2637,0.2612,0.26,0.2586,0.2575,0.2567,0.2561,0.2557,0.2556,0.2556,0.2558,0.2561,0.2565,0.2569,0.2573,0.2578,0.2582,0.2586,0.2591,0.2595,0.2599,0.2604,0.2608,0.2612,0.2615,0.2618,0.2621,0.2624,0.2626,0.2628,0.2631,0.2633,0.2635,0.2638,0.264,0.2642,0.2644,0.2646,0.2648,0.2649,0.2651
