,1 Investment cost mean (MEuro per MW),2 Investment cost SD,3 O&M cost mean (Euros/MJ/s/year),4 O&M cost SD,5 Lifetime (years),6 Leadtime (years),7 Learning rate,8 Discount rate,9 Conversion efficiency,10 Fuel cost mean,11 Fuel cost SD,12 Gamma value,13 Capacity factor mean,14 Capacity factor SD,15 Learning exponent
Indirect Heating Coal,0.43474480479958266,0.02173724023997913,43783.49708720981,2189.174854360491,25.0,1,-0.05,0.05,0.4558036591089983,83.00226895889695,16.60045379177939,0,0.95,0.1,-0.05
Indirect Heating Oil,0.0478219285279541,0.002391096426397705,9187.02721502478,459.3513607512391,25.0,1,-0.05,0.05,0.3714731584606161,249.9180556767606,49.983611135352106,0,0.95,0.1,-0.05
Indirect Heating Gas,0.0478219285279541,0.002391096426397705,10123.119728719244,506.15598643596223,25.0,1,-0.05,0.05,0.4357420509962499,61.32507199581116,12.265014399162233,0,0.95,0.1,-0.05
Indirect Heating Biomass,0.5373445787322841,0.02686722893661421,43783.49708720981,2189.174854360491,25.0,1,-0.05,0.05,0.42157860908375744,0.0,0.0,0,0.9,0.1,-0.05
Indirect Heating Electric,0.06955916876793324,0.003477958438396662,7790.105208242762,389.5052604121382,25.0,1,-0.05,0.05,0.9,561.1467841871018,112.22935683742037,0,0.98,0.1,-0.05
Indirect Heating Steam Distributed,0.8694896095991653,0.04347448047995827,0.0,0.0,20.0,1,-0.05,0.05,0.4735895232091242,0.0,0.0,0,1.0,0.1,-0.05
Heat Pumps (Electricity),0.9503521432918878,0.04751760716459439,26706.109513955307,1335.3054756977656,20.0,1,-0.432959407,0.05,3.0,561.1467841871018,112.22935683742037,0,0.95,0.1,-0.432959407
Direct Heating Coal,0.1912877141118164,0.00956438570559082,5471.506825493435,273.57534127467176,15.0,1,-0.05,0.05,0.5192266218004704,83.00226895889695,16.60045379177939,0,0.9,0.1,-0.05
Direct Heating Oil,0.013042344143987479,0.0006521172071993741,2292.233876880272,114.6116938440136,15.0,1,-0.05,0.05,0.4936900701788359,249.9180556767606,49.983611135352106,0,0.9,0.1,-0.05
Direct Heating Gas,0.013042344143987479,0.0006521172071993741,2292.233876880272,114.6116938440136,15.0,1,-0.05,0.05,0.4185077824452559,61.32507199581116,12.265014399162233,0,0.95,0.1,-0.05
Direct Heating Biomass,0.1912877141118164,0.00956438570559082,5471.506825493435,273.57534127467176,15.0,1,-0.05,0.05,0.6553916271235285,0.0,0.0,0,0.9,0.1,-0.05
Direct Heating Electric,0.052169376575949916,0.0026084688287974964,1371.950265194331,68.59751325971655,12.5,1,-0.05,0.05,0.5083349412154355,561.1467841871018,112.22935683742037,0,0.98,0.1,-0.05
Direct Heating Steam Distributed,0.8694896095991653,0.04347448047995827,0.0,0.0,20.0,1,-0.05,0.05,0.0712540523955947,0.0,0.0,0,1.0,0.1,-0.05
