"energy_technologies","year","value"
"Nuclear","2019",2806423.53386699
"Oil","2019",707823.567324136
"Coal","2019",10126967.9869909
"Coal + CCS","2019",51305.8716717014
"IGCC","2019",71429.2749211595
"IGCC + CCS","2019",329.188047504381
"CCGT","2019",6396000.61347596
"CCGT + CCS","2019",32511.861730991
"Solid Biomass","2019",539055.61563764
"S Biomass CCS","2019",2866.95576506305
"BIGCC","2019",3882.72376850273
"BIGCC + CCS","2019",1923.43991953607
"Biogas","2019",79641.5288237286
"Biogas + CCS","2019",0
"Tidal","2019",1089.51684910275
"Large Hydro","2019",4227309.83632732
"Onshore","2019",1282991.4092921
"Offshore","2019",203496.060364136
"Solar PV","2019",695961.035161708
"CSP","2019",18136.9181789252
"Geothermal","2019",90712.6281403682
"Wave","2019",0
"Fuel Cells","2019",30455.9756521835
"CHP","2019",0
"Nuclear","2020",3064762.64765825
"Oil","2020",667813.790969867
"Coal","2020",10583536.7609961
"Coal + CCS","2020",55859.1169750375
"IGCC","2020",76181.5440066164
"IGCC + CCS","2020",379.633606080464
"CCGT","2020",6974661.44635086
"CCGT + CCS","2020",35344.8415025574
"Solid Biomass","2020",573272.516414814
"S Biomass CCS","2020",3190.62036012772
"BIGCC","2020",4281.10849706691
"BIGCC + CCS","2020",2122.72209383242
"Biogas","2020",86943.3908731186
"Biogas + CCS","2020",0
"Tidal","2020",1092.77073333542
"Large Hydro","2020",4124412.22398054
"Onshore","2020",1447377.90875889
"Offshore","2020",252409.494075157
"Solar PV","2020",840669.707103482
"CSP","2020",20829.1244796859
"Geothermal","2020",92575.1958520622
"Wave","2020",0
"Fuel Cells","2020",31576.0547233937
"CHP","2020",0
"Nuclear","2021",3047748.37187675
"Oil","2021",592732.959699426
"Coal","2021",10426900.1678765
"Coal + CCS","2021",56783.9213741378
"IGCC","2021",75736.0945666622
"IGCC + CCS","2021",375.188720790391
"CCGT","2021",7012739.25723212
"CCGT + CCS","2021",35583.069512745
"Solid Biomass","2021",556983.323259186
"S Biomass CCS","2021",3248.362679562
"BIGCC","2021",4284.74438354359
"BIGCC + CCS","2021",2121.78802538907
"Biogas","2021",84920.214130724
"Biogas + CCS","2021",0
"Tidal","2021",990.662836018459
"Large Hydro","2021",3839494.1130352
"Onshore","2021",1472666.23043304
"Offshore","2021",280642.261532323
"Solar PV","2021",945729.238540279
"CSP","2021",21386.1102198187
"Geothermal","2021",89188.0014729029
"Wave","2021",0
"Fuel Cells","2021",29526.4107102927
"CHP","2021",0
"Nuclear","2022",3095585.76212311
"Oil","2022",545910.355070462
"Coal","2022",10572386.0860683
"Coal + CCS","2022",59593.6209898598
"IGCC","2022",77921.5000414155
"IGCC + CCS","2022",435.34054822171
"CCGT","2022",7240923.99258405
"CCGT + CCS","2022",36958.4719463271
"Solid Biomass","2022",568091.712287135
