Sector,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
1 Power own use & trans.,484.4204,614.8644,719.3694,747.916,659.2181,513.5251,480.0359,580.5169,591.2536,644.1779,586.7898,586.7898,597.366,608.2594,619.4797,631.0366,642.9402,655.2009,667.8293,680.8367,694.2344,708.0338,722.2474,736.8873,751.9664,767.4978,783.4952,799.9727,816.9443,834.425,852.4303,870.9757,890.0774,909.7522,930.0173,950.8903,972.3895,994.5336,1017.3421,1040.835,1065.0323,1089.9558,1115.627,1142.0682,1169.3027,1197.3542,1226.2474,1256.0073,1286.6599,1318.2322,1350.7517,1384.2467,1418.7466,1454.2815,1490.8823,1528.5814,1567.4113,1607.4061,1648.6008,1691.0312,1734.7347
2 O.energy own use & tra,484.4204,614.8644,719.3694,747.916,659.2181,513.5251,480.0359,580.5169,591.2536,644.1779,586.7898,586.7898,597.366,608.2594,619.4797,631.0366,642.9402,655.2009,667.8293,680.8367,694.2344,708.0338,722.2474,736.8873,751.9664,767.4978,783.4952,799.9727,816.9443,834.425,852.4303,870.9757,890.0774,909.7522,930.0173,950.8903,972.3895,994.5336,1017.3421,1040.835,1065.0323,1089.9558,1115.627,1142.0682,1169.3027,1197.3542,1226.2474,1256.0073,1286.6599,1318.2322,1350.7517,1384.2467,1418.7466,1454.2815,1490.8823,1528.5814,1567.4113,1607.4061,1648.6008,1691.0312,1734.7347
3 Hydrogen production,484.4204,614.8644,719.3694,747.916,659.2181,513.5251,480.0359,580.5169,591.2536,644.1779,586.7898,586.7898,597.366,608.2594,619.4797,631.0366,642.9402,655.2009,667.8293,680.8367,694.2344,708.0338,722.2474,736.8873,751.9664,767.4978,783.4952,799.9727,816.9443,834.425,852.4303,870.9757,890.0774,909.7522,930.0173,950.8903,972.3895,994.5336,1017.3421,1040.835,1065.0323,1089.9558,1115.627,1142.0682,1169.3027,1197.3542,1226.2474,1256.0073,1286.6599,1318.2322,1350.7517,1384.2467,1418.7466,1454.2815,1490.8823,1528.5814,1567.4113,1607.4061,1648.6008,1691.0312,1734.7347
4 Iron & steel,484.4204,614.8644,719.3694,747.916,659.2181,513.5251,480.0359,580.5169,591.2536,644.1779,586.7898,586.7898,597.366,608.2594,619.4797,631.0366,642.9402,655.2009,667.8293,680.8367,694.2344,708.0338,722.2474,736.8873,751.9664,767.4978,783.4952,799.9727,816.9443,834.425,852.4303,870.9757,890.0774,909.7522,930.0173,950.8903,972.3895,994.5336,1017.3421,1040.835,1065.0323,1089.9558,1115.627,1142.0682,1169.3027,1197.3542,1226.2474,1256.0073,1286.6599,1318.2322,1350.7517,1384.2467,1418.7466,1454.2815,1490.8823,1528.5814,1567.4113,1607.4061,1648.6008,1691.0312,1734.7347
5 Non-ferrous metals,484.4204,614.8644,719.3694,747.916,659.2181,513.5251,480.0359,580.5169,591.2536,644.1779,586.7898,586.7898,597.366,608.2594,619.4797,631.0366,642.9402,655.2009,667.8293,680.8367,694.2344,708.0338,722.2474,736.8873,751.9664,767.4978,783.4952,799.9727,816.9443,834.425,852.4303,870.9757,890.0774,909.7522,930.0173,950.8903,972.3895,994.5336,1017.3421,1040.835,1065.0323,1089.9558,1115.627,1142.0682,1169.3027,1197.3542,1226.2474,1256.0073,1286.6599,1318.2322,1350.7517,1384.2467,1418.7466,1454.2815,1490.8823,1528.5814,1567.4113,1607.4061,1648.6008,1691.0312,1734.7347
6 Chemicals,484.4204,614.8644,719.3694,747.916,659.2181,513.5251,480.0359,580.5169,591.2536,644.1779,586.7898,586.7898,597.366,608.2594,619.4797,631.0366,642.9402,655.2009,667.8293,680.8367,694.2344,708.0338,722.2474,736.8873,751.9664,767.4978,783.4952,799.9727,816.9443,834.425,852.4303,870.9757,890.0774,909.7522,930.0173,950.8903,972.3895,994.5336,1017.3421,1040.835,1065.0323,1089.9558,1115.627,1142.0682,1169.3027,1197.3542,1226.2474,1256.0073,1286.6599,1318.2322,1350.7517,1384.2467,1418.7466,1454.2815,1490.8823,1528.5814,1567.4113,1607.4061,1648.6008,1691.0312,1734.7347
7 Non-metallics nes,484.4204,614.8644,719.3694,747.916,659.2181,513.5251,480.0359,580.5169,591.2536,644.1779,586.7898,586.7898,597.366,608.2594,619.4797,631.0366,642.9402,655.2009,667.8293,680.8367,694.2344,708.0338,722.2474,736.8873,751.9664,767.4978,783.4952,799.9727,816.9443,834.425,852.4303,870.9757,890.0774,909.7522,930.0173,950.8903,972.3895,994.5336,1017.3421,1040.835,1065.0323,1089.9558,1115.627,1142.0682,1169.3027,1197.3542,1226.2474,1256.0073,1286.6599,1318.2322,1350.7517,1384.2467,1418.7466,1454.2815,1490.8823,1528.5814,1567.4113,1607.4061,1648.6008,1691.0312,1734.7347
8 Ore-extra.(non-energy),484.4204,614.8644,719.3694,747.916,659.2181,513.5251,480.0359,580.5169,591.2536,644.1779,586.7898,586.7898,597.366,608.2594,619.4797,631.0366,642.9402,655.2009,667.8293,680.8367,694.2344,708.0338,722.2474,736.8873,751.9664,767.4978,783.4952,799.9727,816.9443,834.425,852.4303,870.9757,890.0774,909.7522,930.0173,950.8903,972.3895,994.5336,1017.3421,1040.835,1065.0323,1089.9558,1115.627,1142.0682,1169.3027,1197.3542,1226.2474,1256.0073,1286.6599,1318.2322,1350.7517,1384.2467,1418.7466,1454.2815,1490.8823,1528.5814,1567.4113,1607.4061,1648.6008,1691.0312,1734.7347
"9 Food, drink & tob.",484.4204,614.8644,719.3694,747.916,659.2181,513.5251,480.0359,580.5169,591.2536,644.1779,586.7898,586.7898,597.366,608.2594,619.4797,631.0366,642.9402,655.2009,667.8293,680.8367,694.2344,708.0338,722.2474,736.8873,751.9664,767.4978,783.4952,799.9727,816.9443,834.425,852.4303,870.9757,890.0774,909.7522,930.0173,950.8903,972.3895,994.5336,1017.3421,1040.835,1065.0323,1089.9558,1115.627,1142.0682,1169.3027,1197.3542,1226.2474,1256.0073,1286.6599,1318.2322,1350.7517,1384.2467,1418.7466,1454.2815,1490.8823,1528.5814,1567.4113,1607.4061,1648.6008,1691.0312,1734.7347
"10 Tex., cloth. & footw.",484.4204,614.8644,719.3694,747.916,659.2181,513.5251,480.0359,580.5169,591.2536,644.1779,586.7898,586.7898,597.366,608.2594,619.4797,631.0366,642.9402,655.2009,667.8293,680.8367,694.2344,708.0338,722.2474,736.8873,751.9664,767.4978,783.4952,799.9727,816.9443,834.425,852.4303,870.9757,890.0774,909.7522,930.0173,950.8903,972.3895,994.5336,1017.3421,1040.835,1065.0323,1089.9558,1115.627,1142.0682,1169.3027,1197.3542,1226.2474,1256.0073,1286.6599,1318.2322,1350.7517,1384.2467,1418.7466,1454.2815,1490.8823,1528.5814,1567.4113,1607.4061,1648.6008,1691.0312,1734.7347
