Sector,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
1 Power own use & trans.,1155.7371,1384.9761,1473.076,1419.5365,1361.5518,1176.7991,1141.657,1276.8533,1446.1316,1463.2607,1315.4678,1327.1753,1346.0393,1365.4692,1385.4821,1406.0952,1427.3269,1449.1956,1471.7201,1494.9204,1518.8169,1543.4302,1568.7819,1594.894,1621.7896,1649.4921,1678.0256,1707.4152,1737.6863,1768.8656,1800.9803,1834.0585,1868.129,1903.2217,1939.3669,1976.5968,2014.9435,2054.4404,2095.1226,2137.0249,2180.1843,2224.6387,2270.4265,2317.5879,2366.1646,2416.1982,2467.7329,2520.8135,2575.4866,2631.7998,2689.8027,2749.5457,2811.0806,2874.4617,2939.7444,3006.9856,3076.2437,3147.5798,3221.0562,3296.7366,3374.6873
2 O.energy own use & tra,1155.7371,1384.9761,1473.076,1419.5365,1361.5518,1176.7991,1141.657,1276.8533,1446.1316,1463.2607,1315.4678,1327.1753,1346.0393,1365.4692,1385.4821,1406.0952,1427.3269,1449.1956,1471.7201,1494.9204,1518.8169,1543.4302,1568.7819,1594.894,1621.7896,1649.4921,1678.0256,1707.4152,1737.6863,1768.8656,1800.9803,1834.0585,1868.129,1903.2217,1939.3669,1976.5968,2014.9435,2054.4404,2095.1226,2137.0249,2180.1843,2224.6387,2270.4265,2317.5879,2366.1646,2416.1982,2467.7329,2520.8135,2575.4866,2631.7998,2689.8027,2749.5457,2811.0806,2874.4617,2939.7444,3006.9856,3076.2437,3147.5798,3221.0562,3296.7366,3374.6873
3 Hydrogen production,1155.7371,1384.9761,1473.076,1419.5365,1361.5518,1176.7991,1141.657,1276.8533,1446.1316,1463.2607,1315.4678,1327.1753,1346.0393,1365.4692,1385.4821,1406.0952,1427.3269,1449.1956,1471.7201,1494.9204,1518.8169,1543.4302,1568.7819,1594.894,1621.7896,1649.4921,1678.0256,1707.4152,1737.6863,1768.8656,1800.9803,1834.0585,1868.129,1903.2217,1939.3669,1976.5968,2014.9435,2054.4404,2095.1226,2137.0249,2180.1843,2224.6387,2270.4265,2317.5879,2366.1646,2416.1982,2467.7329,2520.8135,2575.4866,2631.7998,2689.8027,2749.5457,2811.0806,2874.4617,2939.7444,3006.9856,3076.2437,3147.5798,3221.0562,3296.7366,3374.6873
4 Iron & steel,1155.7371,1384.9761,1473.076,1419.5365,1361.5518,1176.7991,1141.657,1276.8533,1446.1316,1463.2607,1315.4678,1327.1753,1346.0393,1365.4692,1385.4821,1406.0952,1427.3269,1449.1956,1471.7201,1494.9204,1518.8169,1543.4302,1568.7819,1594.894,1621.7896,1649.4921,1678.0256,1707.4152,1737.6863,1768.8656,1800.9803,1834.0585,1868.129,1903.2217,1939.3669,1976.5968,2014.9435,2054.4404,2095.1226,2137.0249,2180.1843,2224.6387,2270.4265,2317.5879,2366.1646,2416.1982,2467.7329,2520.8135,2575.4866,2631.7998,2689.8027,2749.5457,2811.0806,2874.4617,2939.7444,3006.9856,3076.2437,3147.5798,3221.0562,3296.7366,3374.6873
5 Non-ferrous metals,1155.7371,1384.9761,1473.076,1419.5365,1361.5518,1176.7991,1141.657,1276.8533,1446.1316,1463.2607,1315.4678,1327.1753,1346.0393,1365.4692,1385.4821,1406.0952,1427.3269,1449.1956,1471.7201,1494.9204,1518.8169,1543.4302,1568.7819,1594.894,1621.7896,1649.4921,1678.0256,1707.4152,1737.6863,1768.8656,1800.9803,1834.0585,1868.129,1903.2217,1939.3669,1976.5968,2014.9435,2054.4404,2095.1226,2137.0249,2180.1843,2224.6387,2270.4265,2317.5879,2366.1646,2416.1982,2467.7329,2520.8135,2575.4866,2631.7998,2689.8027,2749.5457,2811.0806,2874.4617,2939.7444,3006.9856,3076.2437,3147.5798,3221.0562,3296.7366,3374.6873
6 Chemicals,1155.7371,1384.9761,1473.076,1419.5365,1361.5518,1176.7991,1141.657,1276.8533,1446.1316,1463.2607,1315.4678,1327.1753,1346.0393,1365.4692,1385.4821,1406.0952,1427.3269,1449.1956,1471.7201,1494.9204,1518.8169,1543.4302,1568.7819,1594.894,1621.7896,1649.4921,1678.0256,1707.4152,1737.6863,1768.8656,1800.9803,1834.0585,1868.129,1903.2217,1939.3669,1976.5968,2014.9435,2054.4404,2095.1226,2137.0249,2180.1843,2224.6387,2270.4265,2317.5879,2366.1646,2416.1982,2467.7329,2520.8135,2575.4866,2631.7998,2689.8027,2749.5457,2811.0806,2874.4617,2939.7444,3006.9856,3076.2437,3147.5798,3221.0562,3296.7366,3374.6873
7 Non-metallics nes,1155.7371,1384.9761,1473.076,1419.5365,1361.5518,1176.7991,1141.657,1276.8533,1446.1316,1463.2607,1315.4678,1327.1753,1346.0393,1365.4692,1385.4821,1406.0952,1427.3269,1449.1956,1471.7201,1494.9204,1518.8169,1543.4302,1568.7819,1594.894,1621.7896,1649.4921,1678.0256,1707.4152,1737.6863,1768.8656,1800.9803,1834.0585,1868.129,1903.2217,1939.3669,1976.5968,2014.9435,2054.4404,2095.1226,2137.0249,2180.1843,2224.6387,2270.4265,2317.5879,2366.1646,2416.1982,2467.7329,2520.8135,2575.4866,2631.7998,2689.8027,2749.5457,2811.0806,2874.4617,2939.7444,3006.9856,3076.2437,3147.5798,3221.0562,3296.7366,3374.6873
8 Ore-extra.(non-energy),1155.7371,1384.9761,1473.076,1419.5365,1361.5518,1176.7991,1141.657,1276.8533,1446.1316,1463.2607,1315.4678,1327.1753,1346.0393,1365.4692,1385.4821,1406.0952,1427.3269,1449.1956,1471.7201,1494.9204,1518.8169,1543.4302,1568.7819,1594.894,1621.7896,1649.4921,1678.0256,1707.4152,1737.6863,1768.8656,1800.9803,1834.0585,1868.129,1903.2217,1939.3669,1976.5968,2014.9435,2054.4404,2095.1226,2137.0249,2180.1843,2224.6387,2270.4265,2317.5879,2366.1646,2416.1982,2467.7329,2520.8135,2575.4866,2631.7998,2689.8027,2749.5457,2811.0806,2874.4617,2939.7444,3006.9856,3076.2437,3147.5798,3221.0562,3296.7366,3374.6873
"9 Food, drink & tob.",1155.7371,1384.9761,1473.076,1419.5365,1361.5518,1176.7991,1141.657,1276.8533,1446.1316,1463.2607,1315.4678,1327.1753,1346.0393,1365.4692,1385.4821,1406.0952,1427.3269,1449.1956,1471.7201,1494.9204,1518.8169,1543.4302,1568.7819,1594.894,1621.7896,1649.4921,1678.0256,1707.4152,1737.6863,1768.8656,1800.9803,1834.0585,1868.129,1903.2217,1939.3669,1976.5968,2014.9435,2054.4404,2095.1226,2137.0249,2180.1843,2224.6387,2270.4265,2317.5879,2366.1646,2416.1982,2467.7329,2520.8135,2575.4866,2631.7998,2689.8027,2749.5457,2811.0806,2874.4617,2939.7444,3006.9856,3076.2437,3147.5798,3221.0562,3296.7366,3374.6873
"10 Tex., cloth. & footw.",1155.7371,1384.9761,1473.076,1419.5365,1361.5518,1176.7991,1141.657,1276.8533,1446.1316,1463.2607,1315.4678,1327.1753,1346.0393,1365.4692,1385.4821,1406.0952,1427.3269,1449.1956,1471.7201,1494.9204,1518.8169,1543.4302,1568.7819,1594.894,1621.7896,1649.4921,1678.0256,1707.4152,1737.6863,1768.8656,1800.9803,1834.0585,1868.129,1903.2217,1939.3669,1976.5968,2014.9435,2054.4404,2095.1226,2137.0249,2180.1843,2224.6387,2270.4265,2317.5879,2366.1646,2416.1982,2467.7329,2520.8135,2575.4866,2631.7998,2689.8027,2749.5457,2811.0806,2874.4617,2939.7444,3006.9856,3076.2437,3147.5798,3221.0562,3296.7366,3374.6873
